epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,2985.08,0.61708,0.36123,0.93114,0.90002,0.90779,0.91318,0.73111,0.73844,0.50546,0.97125,0.000203591,0.000203591,0.000203591
167,3003.27,0.61889,0.35471,0.92571,0.89553,0.9097,0.91202,0.72941,0.74589,0.50423,0.97602,0.000198091,0.000198091,0.000198091
168,3021.47,0.62056,0.35685,0.92787,0.89495,0.91176,0.91004,0.7299,0.74033,0.50351,0.97203,0.000192592,0.000192592,0.000192592
169,3039.59,0.61494,0.36047,0.92914,0.88267,0.92442,0.91402,0.73009,0.74157,0.50412,0.9718,0.000187092,0.000187092,0.000187092
170,3057.46,0.6151,0.36157,0.92793,0.88578,0.91507,0.9133,0.73133,0.73891,0.50133,0.97004,0.000181593,0.000181593,0.000181593
171,3075.31,0.61275,0.35318,0.92702,0.89115,0.91813,0.91208,0.73093,0.74389,0.49864,0.96941,0.000176094,0.000176094,0.000176094
172,3093.24,0.61731,0.35079,0.92623,0.88802,0.92231,0.91307,0.73124,0.74915,0.50125,0.97136,0.000170594,0.000170594,0.000170594
173,3111.28,0.60852,0.34987,0.92295,0.89716,0.90893,0.91298,0.73161,0.7433,0.50069,0.96766,0.000165095,0.000165095,0.000165095
174,3129.27,0.61086,0.35622,0.92884,0.89447,0.90997,0.90966,0.72827,0.74643,0.50392,0.96979,0.000159595,0.000159595,0.000159595
175,3147.41,0.6189,0.35289,0.92753,0.89282,0.91668,0.91087,0.72974,0.74271,0.49936,0.96942,0.000154096,0.000154096,0.000154096
176,3165.51,0.6061,0.34985,0.92221,0.88725,0.92178,0.91488,0.73288,0.74268,0.49692,0.97065,0.000148596,0.000148596,0.000148596
177,3183.67,0.60322,0.34684,0.91815,0.89913,0.90968,0.91244,0.73434,0.74,0.49835,0.96975,0.000143097,0.000143097,0.000143097
178,3201.94,0.60945,0.34319,0.92805,0.90273,0.91198,0.91319,0.73207,0.74654,0.49236,0.9715,0.000137597,0.000137597,0.000137597
179,3220.3,0.60826,0.35136,0.92776,0.89478,0.91689,0.91481,0.73229,0.74354,0.49101,0.9712,0.000132098,0.000132098,0.000132098
